year,category,prize,motivation,price_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1980,Physics,The Nobel Prize in Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,1/2,117,Individual,Val Logsdon Fitch,1923-03-10,"Merriman, NE",USA,male,Princeton University,"Princeton, NJ",USA,2015-02-05,"Princeton, NJ",USA
1980,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,419,Individual,Baruj Benacerraf,1920-10-29,Caracas,Venezuela,male,Harvard Medical School,"Boston, MA",USA,2011-08-02,"Boston, MA",USA
1980,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,421,Individual,George D. Snell,1903-12-19,"Bradford, MA",USA,male,Jackson Laboratory,"Bar Harbor, ME",USA,1996-06-06,"Bar Harbor, ME",USA
1980,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3,420,Individual,Jean Dausset,1916-10-19,Toulouse,France,male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,2009-06-06,"Palma, Majorca",Spain
1981,Chemistry,The Nobel Prize in Chemistry,"for their theories, developed independently, concerning the course of chemical reactions",1/2,257,Individual,Kenichi Fukui,1918-10-04,Nara,Japan,male,Kyoto University,Kyoto,Japan,1998-01-09,Kyoto,Japan
1981,Chemistry,The Nobel Prize in Chemistry,"for their theories, developed independently, concerning the course of chemical reactions",1/2,258,Individual,Roald Hoffmann,1937-07-18,Zloczov,Poland,male,Cornell University,"Ithaca, NY",USA,,,
1981,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",1,695,Individual,James Tobin,1918-03-05,"Champaign, IL",USA,male,Yale University,"New Haven, CT",USA,2002-03-11,"New Haven, CT",USA
1981,Literature,The Nobel Prize in Literature,"for writings marked by a broad outlook, a wealth of ideas and artistic power",1,658,Individual,Elias Canetti,1905-07-25,Ruse,Bulgaria,male,,,,1994-08-14,Zurich,Switzerland
1981,Peace,The Nobel Peace Prize,for promoting the fundamental rights of refugees,1,515,Organization,Office of the United Nations High Commissioner for Refugees,1950-12-14,Geneva,Switzerland,,,,,,,
1981,Physics,The Nobel Prize in Physics,for their contribution to the development of laser spectroscopy,1/4,119,Individual,Arthur Leonard Schawlow,1921-05-05,"Mount Vernon, NY",USA,male,Stanford University,"Stanford, CA",USA,1999-04-28,"Palo Alto, CA",USA
1981,Physics,The Nobel Prize in Physics,for his contribution to the development of high-resolution electron spectroscopy,1/2,120,Individual,Kai M. Siegbahn,1918-04-20,Lund,Sweden,male,Uppsala University,Uppsala,Sweden,2007-07-20,Ängelholm,Sweden
1981,Physics,The Nobel Prize in Physics,for their contribution to the development of laser spectroscopy,1/4,118,Individual,Nicolaas Bloembergen,1920-03-11,Dordrecht,the Netherlands,male,Harvard University,"Cambridge, MA",USA,2017-09-05,"Tucson, AZ",USA
1981,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning information processing in the visual system,1/4,423,Individual,David H. Hubel,1926-02-27,"Windsor, ON",Canada,male,Harvard Medical School,"Boston, MA",USA,2013-09-22,"Lincoln, MA",USA
1981,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discoveries concerning the functional specialization of the cerebral hemispheres,1/2,422,Individual,Roger W. Sperry,1913-08-20,"Hartford, CT",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1994-04-17,"Pasadena, CA",USA
1981,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning information processing in the visual system,1/4,424,Individual,Torsten N. Wiesel,1924-06-03,Uppsala,Sweden,male,Harvard Medical School,"Boston, MA",USA,,,
1982,Chemistry,The Nobel Prize in Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,1,259,Individual,Aaron Klug,1926-08-11,Zelvas,Lithuania,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2018-11-20,,
1982,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",1,696,Individual,George J. Stigler,1911-01-17,"Renton, WA",USA,male,University of Chicago,"Chicago, IL",USA,1991-12-01,"Chicago, IL",USA
1982,Literature,The Nobel Prize in Literature,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",1,659,Individual,Gabriel García Márquez,1927-03-06,Aracataca,Colombia,male,,,,2014-04-17,Mexico City,Mexico
1982,Peace,The Nobel Peace Prize,for their work for disarmament and nuclear and weapon-free zones,1/2,544,Individual,Alfonso García Robles,1911-03-20,Zamora,Mexico,male,,,,1991-09-02,Mexico City,Mexico
1982,Peace,The Nobel Peace Prize,for their work for disarmament and nuclear and weapon-free zones,1/2,543,Individual,Alva Myrdal,1902-01-31,Uppsala,Sweden,female,,,,1986-02-01,Stockholm,Sweden
1982,Physics,The Nobel Prize in Physics,for his theory for critical phenomena in connection with phase transitions,1,121,Individual,Kenneth G. Wilson,1936-06-08,"Waltham, MA",USA,male,Cornell University,"Ithaca, NY",USA,2013-06-15,"Saco, ME",USA
1982,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1/3,426,Individual,Bengt I. Samuelsson,1934-05-21,Halmstad,Sweden,male,Karolinska Institutet,Stockholm,Sweden,,,
1982,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1/3,427,Individual,John R. Vane,1927-03-29,Tardebigg,United Kingdom,male,The Wellcome Research Laboratories,Beckenham,United Kingdom,2004-11-19,Farnborough,United Kingdom
1982,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1/3,425,Individual,Sune K. Bergström,1916-01-10,Stockholm,Sweden,male,Karolinska Institutet,Stockholm,Sweden,2004-08-15,Stockholm,Sweden
1983,Chemistry,The Nobel Prize in Chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",1,260,Individual,Henry Taube,1915-11-30,Neudorf,Canada,male,Stanford University,"Stanford, CA",USA,2005-11-16,"Stanford, CA",USA
1983,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,1,697,Individual,Gerard Debreu,1921-07-04,Calais,France,male,University of California,"Berkeley, CA",USA,2004-12-31,Paris,France
1983,Literature,The Nobel Prize in Literature,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",1,660,Individual,William Golding,1911-09-19,St. Columb Minor,United Kingdom,male,,,,1993-06-19,Perranarworthal,United Kingdom
1983,Peace,The Nobel Peace Prize,for non-violent struggle for free trade unions and human rights in Poland,1,545,Individual,Lech Walesa,1943-09-29,Popowo,Poland,male,,,,,,
1983,Physics,The Nobel Prize in Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,1/2,122,Individual,Subramanyan Chandrasekhar,1910-10-19,Lahore,India,male,University of Chicago,"Chicago, IL",USA,1995-08-21,"Chicago, IL",USA
1983,Physics,The Nobel Prize in Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,1/2,123,Individual,William Alfred Fowler,1911-08-09,"Pittsburgh, PA",USA,male,California Institute of Technology (Caltech),"Pasadena, CA",USA,1995-03-14,"Pasadena, CA",USA
1983,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for her discovery of mobile genetic elements,1,428,Individual,Barbara McClintock,1902-06-16,"Hartford, CT",USA,female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",USA,1992-09-02,"Huntington, NY",USA
1984,Chemistry,The Nobel Prize in Chemistry,for his development of methodology for chemical synthesis on a solid matrix,1,261,Individual,Robert Bruce Merrifield,1921-07-15,"Fort Worth, TX",USA,male,Rockefeller University,"New York, NY",USA,2006-05-14,"Cresskill, NJ",USA
1984,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,1,698,Individual,Richard Stone,1913-08-30,London,United Kingdom,male,University of Cambridge,Cambridge,United Kingdom,1991-12-06,Cambridge,United Kingdom
1984,Literature,The Nobel Prize in Literature,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",1,661,Individual,Jaroslav Seifert,1901-09-23,Prague,Austria-Hungary,male,,,,1986-01-10,Prague,Czechoslovakia
1984,Peace,The Nobel Peace Prize,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,1,546,Individual,Desmond Mpilo Tutu,1931-10-07,Klerksdorp,South Africa,male,,,,2021-12-26,Cape Town,South Africa
1984,Physics,The Nobel Prize in Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2,124,Individual,Carlo Rubbia,1934-03-31,Gorizia,Italy,male,CERN,Geneva,Switzerland,,,
1984,Physics,The Nobel Prize in Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",1/2,125,Individual,Simon van der Meer,1925-11-24,the Hague,the Netherlands,male,CERN,Geneva,Switzerland,2011-03-04,Geneva,Switzerland
1984,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,431,Individual,César Milstein,1927-10-08,Bahia Blanca,Argentina,male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-03-24,Cambridge,United Kingdom
1984,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,430,Individual,Georges J.F. Köhler,1946-04-17,Munich,Germany,male,Basel Institute for Immunology,Basel,Switzerland,1995-03-01,Freiburg im Breisgau,Germany
1984,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1/3,429,Individual,Niels K. Jerne,1911-12-23,London,United Kingdom,male,Basel Institute for Immunology,Basel,Switzerland,1994-10-07,Castillon-du-Gard,France
1985,Chemistry,The Nobel Prize in Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2,262,Individual,Herbert A. Hauptman,1917-02-14,"New York, NY",USA,male,The Medical Foundation of Buffalo,"Buffalo, NY",USA,2011-10-23,"Buffalo, NY",USA
1985,Chemistry,The Nobel Prize in Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,1/2,263,Individual,Jerome Karle,1918-06-18,"New York, NY",USA,male,US Naval Research Laboratory,"Washington, D.C.",USA,2013-06-06,"Annandale, VA",USA
1985,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his pioneering analyses of saving and of financial markets,1,699,Individual,Franco Modigliani,1918-06-18,Rome,Italy,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,2003-09-25,"Cambridge, MA",USA
1985,Literature,The Nobel Prize in Literature,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,1,662,Individual,Claude Simon,1913-10-10,Tananarive,Madagascar,male,,,,2005-07-06,Paris,France
1985,Peace,The Nobel Peace Prize,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,1,547,Organization,International Physicians for the Prevention of Nuclear War,1980-01-01,"Boston, MA",USA,,,,,,,
1985,Physics,The Nobel Prize in Physics,for the discovery of the quantized Hall effect,1,126,Individual,Klaus von Klitzing,1943-06-28,Schroda,German-occupied Poland,male,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,,,
1985,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,1/2,433,Individual,Joseph L. Goldstein,1940-04-18,"Sumter, SC",USA,male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,,,
1985,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,1/2,432,Individual,Michael S. Brown,1941-04-13,"New York, NY",USA,male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,,,
1986,Chemistry,The Nobel Prize in Chemistry,for their contributions concerning the dynamics of chemical elementary processes,1/3,264,Individual,Dudley R. Herschbach,1932-06-18,"San José, CA",USA,male,Harvard University,"Cambridge, MA",USA,,,
1986,Chemistry,The Nobel Prize in Chemistry,for their contributions concerning the dynamics of chemical elementary processes,1/3,266,Individual,John C. Polanyi,1929-01-23,Berlin,Germany,male,University of Toronto,Toronto,Canada,,,
1986,Chemistry,The Nobel Prize in Chemistry,for their contributions concerning the dynamics of chemical elementary processes,1/3,265,Individual,Yuan T. Lee,1936-11-19,Hsinchu,Taiwan,male,University of California,"Berkeley, CA",USA,,,
1986,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,1,700,Individual,James M. Buchanan Jr.,1919-10-03,"Murfreesboro, TN",USA,male,Center for Study of Public Choice,"Fairfax, VA",USA,2013-01-09,"Blacksburg, VA",USA
1986,Literature,The Nobel Prize in Literature,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,1,663,Individual,Wole Soyinka,1934-07-13,Abeokuta,Nigeria,male,,,,,,
1986,Peace,The Nobel Peace Prize,"for being a messenger to mankind: his message is one of peace, atonement and dignity",1,548,Individual,Elie Wiesel,1928-09-30,Sighet,Romania,male,,,,2016-07-02,"New York, NY",USA
1986,Physics,The Nobel Prize in Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope",1/2,127,Individual,Ernst Ruska,1906-12-25,Heidelberg,Germany,male,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,1988-05-27,West Berlin,Germany
1986,Physics,The Nobel Prize in Physics,for their design of the scanning tunneling microscope,1/4,128,Individual,Gerd Binnig,1947-07-20,Frankfurt-on-the-Main,West Germany,male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
1986,Physics,The Nobel Prize in Physics,for their design of the scanning tunneling microscope,1/4,129,Individual,Heinrich Rohrer,1933-06-06,Buchs,Switzerland,male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,2013-05-16,Wollerau,Switzerland
1986,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of growth factors,1/2,435,Individual,Rita Levi-Montalcini,1909-04-22,Turin,Italy,female,Institute of Cell Biology of the C.N.R.,Rome,Italy,2012-12-30,Rome,Italy
1986,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of growth factors,1/2,434,Individual,Stanley Cohen,1922-11-17,"Brooklyn, NY",USA,male,Vanderbilt University School of Medicine,"Nashville, TN",USA,2020-02-05,"Nashville, TN",USA
1987,Chemistry,The Nobel Prize in Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,269,Individual,Charles J. Pedersen,1904-10-03,Pusan,Korea,male,Du Pont,"Wilmington, DE",USA,1989-10-26,"Salem, NJ",USA
1987,Chemistry,The Nobel Prize in Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,267,Individual,Donald J. Cram,1919-04-22,"Chester, VT",USA,male,University of California,"Los Angeles, CA",USA,2001-06-17,"Palm Desert, CA",USA
1987,Chemistry,The Nobel Prize in Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,1/3,268,Individual,Jean-Marie Lehn,1939-09-30,Rosheim,France,male,Université Louis Pasteur,Strasbourg,France,,,
1987,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his contributions to the theory of economic growth,1,701,Individual,Robert M. Solow,1924-08-23,"Brooklyn, NY",USA,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,
1987,Literature,The Nobel Prize in Literature,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",1,664,Individual,Joseph Brodsky,1940-05-24,Leningrad,USSR,male,,,,1996-01-28,"New York, NY",USA
1987,Peace,The Nobel Peace Prize,for his work for lasting peace in Central America,1,549,Individual,Oscar Arias Sánchez,1940-09-13,Heredia,Costa Rica,male,,,,,,
1987,Physics,The Nobel Prize in Physics,for their important break-through in the discovery of superconductivity in ceramic materials,1/2,130,Individual,J. Georg Bednorz,1950-05-16,Neuenkirchen,West Germany,male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,,,
1987,Physics,The Nobel Prize in Physics,for their important break-through in the discovery of superconductivity in ceramic materials,1/2,131,Individual,K. Alexander Müller,1927-04-20,Basel,Switzerland,male,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,2023-01-09,Zurich,Switzerland
1987,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for his discovery of the genetic principle for generation of antibody diversity,1,436,Individual,Susumu Tonegawa,1939-09-05,Nagoya,Japan,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,
1988,Chemistry,The Nobel Prize in Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,272,Individual,Hartmut Michel,1948-07-18,Ludwigsburg,West Germany,male,Max-Planck-Institut für Biophysik,Frankfurt-on-the-Main,Germany,,,
1988,Chemistry,The Nobel Prize in Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,270,Individual,Johann Deisenhofer,1943-09-30,Zusamaltheim,Germany,male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",USA,,,
1988,Chemistry,The Nobel Prize in Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3,271,Individual,Robert Huber,1937-02-20,Munich,Germany,male,Max-Planck-Institut für Biochemie,Martinsried,Germany,,,
1988,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his pioneering contributions to the theory of markets and efficient utilization of resources,1,702,Individual,Maurice Allais,1911-05-31,Paris,France,male,École Nationale Supérieur des Mines de Paris,Paris,France,2010-10-09,Paris,France
1988,Literature,The Nobel Prize in Literature,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",1,665,Individual,Naguib Mahfouz,1911-12-11,Cairo,Egypt,male,,,,2006-08-30,Cairo,Egypt
1988,Peace,The Nobel Peace Prize,for preventing armed clashes and creating conditions for negotiations,1,550,Organization,United Nations Peacekeeping Forces,1948-01-01,"New York, NY",USA,,,,,,,
1988,Physics,The Nobel Prize in Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,134,Individual,Jack Steinberger,1921-05-25,Bad Kissingen,Germany,male,CERN,Geneva,Switzerland,2020-12-12,Geneva,Switzerland
1988,Physics,The Nobel Prize in Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,132,Individual,Leon M. Lederman,1922-07-15,"New York, NY",USA,male,Fermi National Accelerator Laboratory,"Batavia, IL",USA,2018-10-03,"Rexburg, ID",USA
1988,Physics,The Nobel Prize in Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3,133,Individual,Melvin Schwartz,1932-11-02,"New York, NY",USA,male,"Digital Pathways, Inc.","Mountain View, CA",USA,2006-08-28,"Twin Falls, ID",USA
1988,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of important principles for drug treatment,1/3,439,Individual,George H. Hitchings,1905-04-18,"Hoquiam, WA",USA,male,Wellcome Research Laboratories,"Research Triangle Park, NC",USA,1998-02-27,"Chapel Hill, NC",USA
1988,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of important principles for drug treatment,1/3,438,Individual,Gertrude B. Elion,1918-01-23,"New York, NY",USA,female,Wellcome Research Laboratories,"Research Triangle Park, NC",USA,1999-02-21,"Chapel Hill, NC",USA
1988,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries of important principles for drug treatment,1/3,437,Individual,Sir James W. Black,1924-06-14,Uddingston,Scotland,male,"London University, King's College Hospital Medical School",London,United Kingdom,2010-03-21,,
1989,Chemistry,The Nobel Prize in Chemistry,for their discovery of catalytic properties of RNA,1/2,273,Individual,Sidney Altman,1939-05-07,Montreal,Canada,male,Yale University,"New Haven, CT",USA,2022-04-05,"Rockleigh, NJ",USA
1989,Chemistry,The Nobel Prize in Chemistry,for their discovery of catalytic properties of RNA,1/2,274,Individual,Thomas R. Cech,1947-12-08,"Chicago, IL",USA,male,University of Colorado,"Boulder, CO",USA,,,
1989,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,1,703,Individual,Trygve Haavelmo,1911-12-13,Skedsmo,Norway,male,University of Oslo,Oslo,Norway,1999-07-26,Oslo,Norway
1989,Literature,The Nobel Prize in Literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",1,666,Individual,Camilo José Cela,1916-05-11,Iria Flavia,Spain,male,,,,2002-01-17,Madrid,Spain
1989,Peace,The Nobel Peace Prize,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,1,551,Individual,The 14th Dalai Lama (Tenzin Gyatso),1935-07-06,Taktser,Tibet,male,,,,,,
1989,Physics,The Nobel Prize in Physics,for the development of the ion trap technique,1/4,136,Individual,Hans G. Dehmelt,1922-09-09,Görlitz,Prussia,male,University of Washington,"Seattle, WA",USA,2017-03-07,"Seattle, WA",USA
1989,Physics,The Nobel Prize in Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,1/2,135,Individual,Norman F. Ramsey,1915-08-27,"Washington, D.C.",USA,male,Harvard University,"Cambridge, MA",USA,2011-11-04,"Wayland, MA",USA
1989,Physics,The Nobel Prize in Physics,for the development of the ion trap technique,1/4,137,Individual,Wolfgang Paul,1913-08-10,Lorenzkirch,Germany,male,University of Bonn,Bonn,Germany,1993-12-07,Bonn,Germany
1989,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes,1/2,441,Individual,Harold E. Varmus,1939-12-18,"Oceanside, NY",USA,male,University of California School of Medicine,"San Francisco, CA",USA,,,
1989,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes,1/2,440,Individual,J. Michael Bishop,1936-02-22,"York, PA",USA,male,University of California School of Medicine,"San Francisco, CA",USA,,,
1990,Chemistry,The Nobel Prize in Chemistry,for his development of the theory and methodology of organic synthesis,1,275,Individual,Elias James Corey,1928-07-12,"Methuen, MA",USA,male,Harvard University,"Cambridge, MA",USA,,,
1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their pioneering work in the theory of financial economics,1/3,704,Individual,Harry M. Markowitz,1927-08-24,"Chicago, IL",USA,male,City University of New York,"New York, NY",USA,,,
1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their pioneering work in the theory of financial economics,1/3,705,Individual,Merton H. Miller,1923-05-16,"Boston, MA",USA,male,University of Chicago,"Chicago, IL",USA,2000-06-03,"Chicago, IL",USA
1990,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for their pioneering work in the theory of financial economics,1/3,706,Individual,William F. Sharpe,1934-06-16,"Boston, MA",USA,male,Stanford University,"Stanford, CA",USA,,,
1990,Literature,The Nobel Prize in Literature,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",1,667,Individual,Octavio Paz,1914-03-31,Mexico City,Mexico,male,,,,1998-04-19,Mexico City,Mexico
1990,Peace,The Nobel Peace Prize,for the leading role he played in the radical changes in East-West relations,1,552,Individual,Mikhail Sergeyevich Gorbachev,1931-03-02,Privolnoye,USSR,male,,,,2022-08-30,Moscow,Russia
1990,Physics,The Nobel Prize in Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,139,Individual,Henry W. Kendall,1926-12-09,"Boston, MA",USA,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1999-02-15,"Wakulla Springs State Park, FL",USA
1990,Physics,The Nobel Prize in Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,138,Individual,Jerome I. Friedman,1930-03-28,"Chicago, IL",USA,male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,,,
1990,Physics,The Nobel Prize in Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3,140,Individual,Richard E. Taylor,1929-11-02,"Medicine Hat, Alberta",Canada,male,Stanford University,"Stanford, CA",USA,2018-02-22,"Stanford, CA",USA
1990,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2,443,Individual,E. Donnall Thomas,1920-03-15,"Mart, TX",USA,male,Fred Hutchinson Cancer Research Center,"Seattle, WA",USA,2012-10-20,"Seattle, WA",USA
1990,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2,442,Individual,Joseph E. Murray,1919-04-01,"Milford, MA",USA,male,Brigham and Women's Hospital,"Boston, MA",USA,2012-11-26,"Boston, MA",USA
1991,Chemistry,The Nobel Prize in Chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,1,276,Individual,Richard R. Ernst,1933-08-14,Winterthur,Switzerland,male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,2021-06-04,Winterthur,Switzerland
1991,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,1,707,Individual,Ronald H. Coase,1910-12-29,Willesden,United Kingdom,male,University of Chicago,"Chicago, IL",USA,2013-09-02,"Chicago, IL",USA
1991,Literature,The Nobel Prize in Literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,1,668,Individual,Nadine Gordimer,1923-11-20,Springs,South Africa,female,,,,2014-07-13,Johannesburg,South Africa
1991,Peace,The Nobel Peace Prize,for her non-violent struggle for democracy and human rights,1,553,Individual,Aung San Suu Kyi,1945-06-19,Rangoon,Burma,female,,,,,,
1991,Physics,The Nobel Prize in Physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",1,141,Individual,Pierre-Gilles de Gennes,1932-10-24,Paris,France,male,Collège de France,Paris,France,2007-05-18,Orsay,France
1991,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,1/2,445,Individual,Bert Sakmann,1942-06-12,Stuttgart,Germany,male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,,,
1991,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,1/2,444,Individual,Erwin Neher,1944-03-20,Landsberg,Germany,male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,,,
